month,id,sol,ls,min_temp,pressure
1,1013.8735632183908,1077.5747126436781,15.281609195402298,-77.16091954022988,862.4885057471264
2,1109.8820224719102,1175.8539325842696,44.258426966292134,-79.93258426966293,889.4550561797753
3,1132.6979166666667,1204.40625,75.01041666666667,-83.30729166666667,877.3229166666666
4,1175.1649484536083,1244.5,104.3659793814433,-82.74742268041237,806.3298969072165
5,1115.03355704698,1182.6912751677853,132.88590604026845,-79.30872483221476,748.5570469798657
6,735.3061224489796,750.8299319727892,164.89795918367346,-75.29931972789116,745.0544217687075
7,714.5492957746479,715.1056338028169,194.8943661971831,-72.28169014084507,795.1056338028169
8,718.0780141843971,795.3333333333334,224.34751773049646,-68.38297872340425,873.8297872340426
9,785.8432835820895,861.1865671641791,254.05223880597015,-69.17164179104478,913.3059701492538
10,955.7232142857143,1034.669642857143,286.33035714285717,-71.98214285714286,887.3125
11,874.2463768115942,947.2246376811594,314.536231884058,-71.98550724637681,857.0144927536232
12,931.6024096385543,990.9518072289156,344.6927710843373,-74.45180722891567,842.156626506024
